slug,n_off_session_compat,n_off_session_session_aware,n_bars_compat,n_bars_session_aware,d_bars,n_night_bars_compat,n_night_bars_session_aware,d_night_bars,n_days_compat,n_days_session_aware,d_days,n_outliers_compat,n_outliers_session_aware,n_rollover_compat,n_rollover_session_aware,n_stale_compat,n_stale_session_aware
aluminium,0,0,348985,348985,0,120792,120792,0,5168,5168,0,1934,1934,4,4,90,90
apple,0,0,74970,74970,0,0,0,0,1666,1666,0,81,81,6,6,0,0
bitumen,0,0,179859,179859,0,61935,61935,0,2639,2639,0,106,106,9,9,2,2
coke,0,0,218352,218352,0,70817,70817,0,3279,3279,0,402,402,10,10,2,2
coking_coal,0,0,188499,188499,0,61926,61926,0,2813,2813,0,184,184,12,12,3,3
copper,0,0,359551,359551,0,121081,121081,0,5358,5358,0,874,874,7,7,37,37
copper_intl,0,0,88771,88771,0,45235,45235,0,968,968,0,11,11,0,0,0,0
corn_starch,0,0,138261,138261,0,30577,30577,0,2393,2393,0,75,75,10,10,0,0
crude_oil,0,0,171925,171925,0,99698,99698,0,1606,1606,0,67,67,1,1,0,0
egg,0,0,119880,119880,0,0,0,0,2664,2664,0,91,91,14,14,0,0
fuel_oil,0,0,103256,103256,0,34320,34320,0,1532,1532,0,16,16,5,5,0,0
gold,0,0,355794,355794,0,173831,173831,0,4063,4063,0,226,226,0,0,2,2
iron_ore,0,0,183612,183612,0,63329,63329,0,2673,2673,0,1843,1843,17,17,13,13
jujube,0,0,60345,60345,0,0,0,0,1341,1341,0,49,49,2,2,1,1
lpg,0,0,76092,76092,0,25602,25602,0,1122,1122,0,14,14,3,3,0,0
lsfo,0,0,72803,72803,0,24833,24833,0,1067,1067,0,9,9,0,0,0,0
meg,0,0,95083,95083,0,30553,30553,0,1434,1434,0,17,17,5,5,2,2
methanol,7092,0,196465,203557,7092,54937,62029,7092,3147,3147,0,157,155,14,14,2,2
peanut,0,0,41265,41265,0,0,0,0,917,917,0,14,14,3,3,0,0
polypropylene,0,0,147169,147169,0,30577,30577,0,2591,2591,0,33,33,11,11,2,2
psf,0,0,67977,67977,0,23202,23202,0,995,995,0,2,2,2,2,0,0
pvc,0,0,198075,198075,0,30553,30553,0,3732,3732,0,459,459,8,8,1,1
rebar,0,0,231571,231571,0,62278,62278,0,3772,3772,0,73,73,12,12,1,1
rubber,0,0,291659,291659,0,54719,54719,0,5323,5323,0,439,439,7,7,14,14
rubber_br,0,0,21876,21876,0,7432,7432,0,321,321,0,11,11,0,0,0,0
rubber_nr,0,0,85371,85371,0,28133,28133,0,1273,1273,0,32,32,0,0,1,1
silver,0,0,309870,309870,0,173839,173839,0,3023,3023,0,321,321,1,1,4,4
soybean_2,1549,0,109860,111408,1548,36524,38058,1534,1631,1631,0,26,27,6,6,0,0
soybean_meal,0,0,305403,305403,0,63679,63679,0,5383,5383,0,419,419,11,11,15,15
soybean_oil,0,0,267802,267802,0,63677,63677,0,4540,4540,0,241,241,8,8,8,8
sugar,7092,0,259499,266591,7092,54937,62029,7092,4547,4547,0,232,238,5,5,4,4
tin,0,0,209017,209017,0,104618,104618,0,2329,2329,0,100,100,2,2,0,0
urea,0,0,57330,57330,0,0,0,0,1274,1274,0,30,30,3,3,2,2
zinc,0,0,310604,310604,0,120410,120410,0,4251,4251,0,257,257,1,1,10,10
