slug,session_template,night_start,night_last_stamp
gold,night_0230,21:00,02:25
silver,night_0230,21:00,02:25
aluminium,night_0100,21:00,00:55
copper,night_0100,21:00,00:55
copper_intl,night_0100,21:00,00:55
tin,night_0100,21:00,00:55
zinc,night_0100,21:00,00:55
iron_ore,night_0230,21:00,02:25
rebar,night_0100,21:00,00:55
bitumen,night_0100,21:00,00:55
coke,night_0230,21:00,02:25
coking_coal,night_0230,21:00,02:25
crude_oil,night_0230,21:00,02:25
fuel_oil,night_2300,21:00,22:55
lpg,night_2300,21:00,22:55
lsfo,night_2300,21:00,22:55
meg,night_2300,21:00,22:55
methanol,night_2300,21:00,22:55
polypropylene,night_2300,21:00,22:55
psf,night_2300,21:00,22:55
pvc,night_2300,21:00,22:55
rubber,night_2300,21:00,22:55
rubber_br,night_2300,21:00,22:55
rubber_nr,night_2300,21:00,22:55
urea,day_only,,
apple,day_only,,
corn_starch,night_2300,21:00,22:55
egg,day_only,,
jujube,day_only,,
peanut,day_only,,
soybean_2,night_2300,21:00,22:55
soybean_meal,night_0230,21:00,02:25
soybean_oil,night_0230,21:00,02:25
sugar,night_2300,21:00,22:55
